Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	490.017213130775	0.220619809383344	0.112761083791709	1.95652437848923	0.0504034135164271	0.263505451732526
ENSG00000000419	817.780657499214	0.0592719659595581	0.101481284667009	0.584067950598455	0.559174596340108	0.83026231625679
ENSG00000000457	82.078767893562	0.207748623173056	0.220404896513276	0.942577168019236	0.345897222833991	0.689945926096561
ENSG00000000460	356.07160020304	-0.129186381675894	0.115139182338404	-1.12200190284662	0.261861630844032	0.612624613894202
ENSG00000001036	919.606750211436	0.0288826917737215	0.0851500691971319	0.339197513825324	0.734460942048348	0.909638554369986
ENSG00000001084	529.593965301543	0.211964772147454	0.0929810563152248	2.27965545399753	0.0226281312425373	0.159263252865332
ENSG00000001167	491.139791725439	-0.29103932778893	0.0974562482175644	-2.98635883395803	0.0028232115075258	0.0352315057124572
ENSG00000001460	143.508716953047	0.00106251822334297	0.173144675936482	0.00613659194310285	0.995103738763043	0.998959066272176
ENSG00000001461	650.564589656325	0.273237591477993	0.109207419443711	2.50200575079818	0.0123491918912852	0.104732211706314
ENSG00000001497	997.074671899261	-0.0246946687933162	0.084685718790288	-0.291603698310325	0.770589647435572	0.926375236604009
ENSG00000001617	196.782898136818	-0.112490874130797	0.14720704917682	-0.76416771316214	0.444767304425496	0.759782366406621
ENSG00000001629	1084.94728326167	-0.0225313311765021	0.105532510351853	-0.213501328655796	0.830935952891708	0.951422289558659
ENSG00000001630	48.3825187312976	-0.443859477122448	0.254689642131289	-1.74274647923705	0.0813779088885243	0.345317952006346
ENSG00000001631	428.542696499662	0.118468660226447	0.112769815964032	1.05053519165299	0.293472119882277	0.643203693179248
ENSG00000002016	64.5369530454487	0.313764385760868	0.2527778523092	1.24126533592456	0.214507745673262	0.557823575507662
ENSG00000002079	986.16170178502	-0.0293178750419394	0.0834761129274929	-0.351212748339215	0.725428746790185	0.906013574753063
ENSG00000002330	231.515643967941	0.171373993057124	0.163544925731327	1.04787105005422	0.294698021989122	0.644238128570024
ENSG00000002549	615.886245756889	0.00842456156536937	0.116789428803422	0.0721346242693716	0.942494771804444	0.984668406302584
ENSG00000002586	4617.65872870308	0.14099921577619	0.079339522424208	1.77716239609187	0.0755415244833492	0.331941515848849
ENSG00000002587	146.882808016777	-0.675847179457601	0.163873570206218	-4.1241987869497	3.7202749302721e-05	0.00105445744503278
ENSG00000002822	816.648188074087	-0.0425740260183769	0.107600995293275	-0.395665726904645	0.692351642410767	0.891708994098472
ENSG00000002834	5217.03168853139	-0.0475262767728906	0.0672839270500969	-0.706354085686831	0.479967966439084	0.781256170560353
ENSG00000002919	311.373501766763	-0.195232424117346	0.122076768903468	-1.59925943216703	0.109762969560484	0.407203495388189
ENSG00000003056	672.082228150161	-0.139298612957016	0.13095321081277	-1.06372812161267	0.287451881199056	0.637706199698986
ENSG00000003096	8.39755624480009	0.344850734350738	0.560157104179247	0.615632171363817	0.538137313245369	NA
ENSG00000003249	487.140048090891	0.170830337488982	0.114167812350738	1.49630910824646	0.13457312266592	0.449473953875839
ENSG00000003393	293.254493224706	-0.188560137673056	0.11926578292647	-1.5810078385123	0.113876245486893	0.413858706174158
ENSG00000003400	124.92772262683	0.288611615984513	0.197611341385325	1.4605012746801	0.144152357474818	0.46334148930515
ENSG00000003402	144.486282749262	0.074786712609644	0.167417804785872	0.446707043526802	0.655086595567266	0.876538646279731
ENSG00000003436	633.59648443974	0.300385253552114	0.112335655014035	2.67399743665166	0.00749530244178391	0.0735614662752609
ENSG00000003509	260.40914474171	0.0623909452703536	0.130154460289365	0.479360792796831	0.631681980642451	0.86681971196822
ENSG00000003756	367.872237234728	0.0803406653016175	0.113516942305063	0.707741625789319	0.479105722674709	0.780884634932433
ENSG00000003987	14.3571429298899	-0.121788237037993	0.460805944387168	-0.2642939799745	0.791553398697338	NA
ENSG00000004059	1725.76794420365	0.114254901561243	0.0957368894038209	1.1934260897	0.232702542294572	0.57934420085625
ENSG00000004142	1463.45616002879	-0.0517637578474813	0.087087160057514	-0.594390238621808	0.55225113575371	0.825015199778807
ENSG00000004399	346.82866343898	-0.132223842612513	0.117747744721725	-1.12294161493283	0.261462291808483	0.612365668036715
ENSG00000004455	1944.76603513729	0.00236429679166742	0.0745460783440606	0.0317159110738894	0.974698606067982	0.992584554342118
ENSG00000004478	1778.6486190286	-0.205627045110019	0.0688865931056216	-2.98500819738229	0.00283570724418572	0.0353516256342465
ENSG00000004487	2820.10235390971	0.0139593494525804	0.0670798481519999	0.208100492728444	0.835150502439806	0.95235531095493
ENSG00000004534	521.908998375899	-0.120686632317062	0.0998784119229165	-1.20833551508814	0.226918232866098	0.573323461376765
ENSG00000004660	106.552645794252	-0.175914655519876	0.166454486604338	-1.05683336693726	0.290587643163933	0.641657942067079
ENSG00000004700	417.951190855183	-0.083766876869622	0.151225416606825	-0.55392062226821	0.57963317105951	0.841113667587756
ENSG00000004766	280.758467024887	0.0234560383825336	0.133496547811435	0.175705205618241	0.86052554544165	0.961527985094971
ENSG00000004776	10.0523913253422	1.37969005294319	0.658803557896605	2.09423588626054	0.0362389724581329	NA
ENSG00000004777	229.454010920436	0.0904707603826041	0.176504231921548	0.512569921965477	0.608252197559578	0.855015291416347
ENSG00000004779	696.567630071199	0.0367511112454494	0.0908747315089825	0.404415073752562	0.685907517437568	0.888455451916976
ENSG00000004838	70.7283433034558	0.372316767152835	0.227902824169179	1.6336645608062	0.102329303566373	0.39143666072109
ENSG00000004864	607.349171897977	-0.0177708270136239	0.103539803123911	-0.171632806683597	0.863726214152061	0.96226301785567
ENSG00000004866	373.750290630033	-0.140902414793949	0.112266190226769	-1.25507434169928	0.209451773876595	0.550425462664746
ENSG00000004897	1495.83993832678	-0.0529086619796706	0.084863265632657	-0.623457765680306	0.532983747897863	0.814702427919866
ENSG00000004961	439.635845444668	-0.188053846439777	0.101028256797682	-1.8613985077103	0.0626879211732172	0.298312595393777
ENSG00000004975	576.827740685726	0.109142507121958	0.114970911725349	0.949305398070476	0.342465308883383	0.686965857245022
ENSG00000005001	317.49885126404	-0.787283094834125	0.133512581495743	-5.89669592194369	3.70852363479868e-09	2.61016489198945e-07
ENSG00000005007	1954.88277539414	-0.184511390646163	0.0885001982404709	-2.08486980045867	0.0370811206170199	0.218949263010467
ENSG00000005020	884.6385590373	0.0598183408859499	0.0975566043826511	0.613165467007456	0.539766935962353	0.818350886369123
ENSG00000005022	5827.56329704028	-0.0688697670069607	0.0715950880517404	-0.96193424550564	0.336082634928368	0.682372597800387
ENSG00000005059	568.227403200702	0.162862381833853	0.103705391757325	1.57043311899306	0.116314382539446	0.419146942579975
ENSG00000005073	73.2486686652513	-0.666388319588723	0.201065501209828	-3.31428472601718	0.000918778973054484	0.0144344395549899
ENSG00000005075	791.528098306205	-0.323346774646676	0.396713448182598	-0.815063810233745	0.415035785566089	0.739197307516859
ENSG00000005100	423.793117252949	-0.368799079252849	0.102374008166506	-3.60246791014589	0.000315210322368844	0.00607581461755407
ENSG00000005156	191.333586634543	-0.00907661113356265	0.150992483355682	-0.0601129998781565	0.952065636282491	0.986920757624258
ENSG00000005175	553.458724798292	-0.0366305299087389	0.115675203755307	-0.316667087842138	0.751496224572307	0.916311189894828
ENSG00000005187	10.8208224769505	0.802793398529291	0.630154241867113	1.27396333340653	0.202676411112081	NA
ENSG00000005189	141.511269834811	0.00888921035187825	0.155031546268343	0.0573380745135057	0.954275891152056	0.987993211146478
ENSG00000005194	429.111895370987	-0.263691077221691	0.106246523691675	-2.48187957647365	0.0130691434320176	0.109356412807174
ENSG00000005206	433.216057872757	0.12431855585357	0.109450085762017	1.13584703920545	0.256020586456222	0.606540789263566
ENSG00000005238	82.8069605920405	-0.460280453567772	0.221614678959954	-2.07694028088701	0.0378070713901796	0.221220759293512
ENSG00000005243	294.819608778621	0.0717595430025633	0.129453753263311	0.554325704690872	0.579355961719294	0.841113667587756
ENSG00000005302	311.031510535347	-0.0524532690094467	0.117009978570751	-0.448280306091422	0.653950911922061	0.876369642274402
